date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:54	1007790/1007790	---MCZ	200	added ('OK')	text/html	etag:W/%22f50f1-61eb2d46f60e8%22	https://www.samsung.com/pt/smartphones/galaxy-z-fold6/	C:/foldPage/Fold6/www.samsung.com/pt/smartphones/galaxy-z-fold6/index.html	(from )
11:25:54	1744/1744	---M-Z	200	added ('OK')	text/plain	etag:W/%226686393a-2530%22	https://www.samsung.com/robots.txt		(from )
11:25:56	1952/1952	---M--	200	added ('OK')	image/png	etag:%227a0-61ec139456ae0%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/Favicon.png	C:/foldPage/Fold6/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/Favicon.png	(from https://www.samsung.com/pt/smartphones/galaxy-z-fold6/)
11:25:57	6822/6822	---M--	200	added ('OK')	image/png	etag:%221aa6-61ec0dde1b230%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/app_ico.png	C:/foldPage/Fold6/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/app_ico.png	(from https://www.samsung.com/pt/smartphones/galaxy-z-fold6/)
11:25:57	2502/2502	---M-Z	200	added ('OK')	text/css	etag:W/%229c6-61ec13f738668%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-site/resources/global/css/fonts.css	C:/foldPage/Fold6/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-site/resources/global/css/fonts.css	(from https://www.samsung.com/pt/smartphones/galaxy-z-fold6/)
11:25:57	83052/83052	---M--	200	added ('OK')	image/jpeg	etag:%228ff985f538946b97498771d47d75170c:1719857770.752757%22	https://images.samsung.com/pt/smartphones/galaxy-z-fold6/images/galaxy-z-fold6-share-image.jpg	C:/foldPage/Fold6/images.samsung.com/pt/smartphones/galaxy-z-fold6/images/galaxy-z-fold6-share-image.jpg	(from https://www.samsung.com/pt/smartphones/galaxy-z-fold6/)
11:25:57	27015/27015	---M-Z	200	added ('OK')	text/css	etag:W/%226987-61e9896c8d3b0%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-dependencies.min.72b3474a5ea9ec2c8b38096685e0928d.css	C:/foldPage/Fold6/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-dependencies.min.72b3474a5ea9ec2c8b38096685e0928d.css	(from https://www.samsung.com/pt/smartphones/galaxy-z-fold6/)
11:25:57	353721/353721	---M-Z	200	added ('OK')	text/css	etag:W/%22565b9-61e989433b980%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-new-gnb.min.0caf8ca1a3d3690805e309aaa0229de4.css	C:/foldPage/Fold6/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-new-gnb.min.0caf8ca1a3d3690805e309aaa0229de4.css	(from https://www.samsung.com/pt/smartphones/galaxy-z-fold6/)
11:25:58	74033/74033	---M-Z	200	added ('OK')	text/css	etag:W/%2212131-61e9894e23190%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-templates/page-flagship/compact.min.9e7f63a00a52b8ec764f41e0465d482f.css	C:/foldPage/Fold6/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-templates/page-flagship/compact.min.9e7f63a00a52b8ec764f41e0465d482f.css	(from https://www.samsung.com/pt/smartphones/galaxy-z-fold6/)
11:25:58	22658/22658	---M-Z	200	added ('OK')	text/css	etag:W/%225882-61e99020b9900%22	https://www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/product/pd-g-floating-nav/clientlibs/site.min.1d264d387839e7e7af7019fe112f7def.css	C:/foldPage/Fold6/www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/product/pd-g-floating-nav/clientlibs/site.min.1d264d387839e7e7af7019fe112f7def.css	(from https://www.samsung.com/pt/smartphones/galaxy-z-fold6/)
11:25:58	101/101	---M-Z	200	added ('OK')	text/css	etag:%2265-61e989893b840%22	https://www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/common/cm-g-static-content/clientlibs/site.min.ae85240e2285ff65e974c0b136a75d59.css	C:/foldPage/Fold6/www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/common/cm-g-static-content/clientlibs/site.min.ae85240e2285ff65e974c0b136a75d59.css	(from https://www.samsung.com/pt/smartphones/galaxy-z-fold6/)
11:25:58	2665/2665	---M-Z	200	added ('OK')	text/css	etag:W/%22a69-61e9892bbd308%22	https://www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/navigation/nv-g-breadcrumb/clientlibs/site.min.01c1e7bc1eb1645deacabd158fc75f0f.css	C:/foldPage/Fold6/www.samsung.com/etc.clientlibs/samsung/components/content/consumer/global/navigation/nv-g-breadcrumb/clientlibs/site.min.01c1e7bc1eb1645deacabd158fc75f0f.css	(from https://www.samsung.com/pt/smartphones/galaxy-z-fold6/)
11:26:04	265427/265427	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2240cd3-61ea15757c610%22	https://www.samsung.com/pt/smartphones/galaxy-z-fold6/ak.m	C:/foldPage/Fold6/www.samsung.com/pt/smartphones/galaxy-z-fold6/ak.m	(from https://www.samsung.com/pt/smartphones/galaxy-z-fold6/)
